产品类别,指标,行业P25,行业P50,行业P75,本厂水平(中药一厂),对标评价
口服液类,材料成本占比,55%,62%,68%,65.2%,略高于中位，下半年原材料涨价推高材料占比
口服液类,人工成本占比,10%,14%,18%,13.7%,处于行业中位水平
口服液类,制造费用占比,18%,22%,27%,21.3%,略低于中位，设备利用率较好
口服液类,单位成本(元/支),0.85,1.05,1.25,1.12,处于行业中位偏上，下半年成本小幅上升
颗粒剂类,材料成本占比,52%,58%,65%,63.5%,高于中位，板蓝根等原料涨价压力大
颗粒剂类,人工成本占比,12%,15%,19%,14.3%,处于行业中位
颗粒剂类,制造费用占比,18%,23%,28%,22.5%,处于行业中位
颗粒剂类,单位成本(元/袋),0.30,0.40,0.50,0.38,低于中位，成本控制良好
胶囊剂类,材料成本占比,60%,68%,74%,71.2%,略高于中位，六味地黄原料多、摊薄难
胶囊剂类,人工成本占比,10%,13%,16%,11.8%,低于中位，人工效率较好
胶囊剂类,制造费用占比,14%,18%,22%,17.1%,处于行业中位
胶囊剂类,单位成本(元/粒),0.25,0.30,0.38,0.30,接近中位，竞争力中等
中成药行业整体,毛利率,45%,55%,65%,51%,处于行业中位，下半年成本上升挤压毛利
中成药行业整体,成本同比变动率,-5%,-2%,1%,+3.1%,成本同比上升，高于行业P75，需重点管控
中成药行业整体,制造费用占收入比,8%,12%,16%,13%,略高于中位
